Crop,N,P,K,pH,soil_moisture,Fertilizer
maize,96,64,74,6.2,61,Urea + DAP + Potash
maize,107,51,80,6.7,62,Urea + DAP + Potash
sugarcane,142,62,128,7.3,75,Urea + DAP + Potash
tomato,104,70,109,6.1,59,Urea + DAP + Potash
tomato,102,70,96,6.4,63,Urea + DAP + Potash
sugarcane,155,68,114,7.2,69,Urea + DAP + Potash
banana,202,59,302,7.2,73,Urea + MOP + Organic Manure
maize,101,66,65,6.4,62,Urea + DAP + Potash
tomato,118,68,108,6.0,59,Urea + DAP + Potash
wheat,115,49,48,7.4,50,Urea + SSP + MOP
potato,140,97,127,5.8,69,Urea + DAP + MOP
groundnut,22,56,69,5.6,53,Gypsum + SSP
sugarcane,143,63,112,7.2,73,Urea + DAP + Potash
banana,210,49,297,7.3,80,Urea + MOP + Organic Manure
rice,80,70,77,6.8,62,Urea + DAP + MOP
rice,86,60,77,6.3,63,Urea + DAP + MOP
cotton,73,36,94,7.0,55,Ammonium Sulphate + SSP + MOP
rice,100,56,83,6.1,68,Urea + DAP + MOP
rice,99,62,73,7.0,69,Urea + DAP + MOP
potato,130,96,126,6.1,60,Urea + DAP + MOP
groundnut,24,65,59,6.4,45,Gypsum + SSP
tomato,103,68,108,6.1,62,Urea + DAP + Potash
pulses,50,79,25,6.3,53,Organic Manure + SSP
groundnut,27,55,66,6.1,48,Gypsum + SSP
wheat,115,48,32,7.0,59,Urea + SSP + MOP
wheat,104,58,40,6.9,52,Urea + SSP + MOP
tomato,119,50,98,6.1,58,Urea + DAP + Potash
tomato,119,62,99,6.5,57,Urea + DAP + Potash
cotton,71,43,97,6.6,47,Ammonium Sulphate + SSP + MOP
maize,98,54,74,6.8,64,Urea + DAP + Potash
rice,97,51,78,6.1,60,Urea + DAP + MOP
pulses,34,60,36,6.7,50,Organic Manure + SSP
maize,110,63,72,6.2,65,Urea + DAP + Potash
banana,201,49,291,6.8,76,Urea + MOP + Organic Manure
cotton,75,33,107,6.7,45,Ammonium Sulphate + SSP + MOP
banana,191,57,294,7.1,71,Urea + MOP + Organic Manure
groundnut,22,67,57,6.3,49,Gypsum + SSP
maize,104,58,63,6.9,60,Urea + DAP + Potash
cotton,81,42,102,7.0,48,Ammonium Sulphate + SSP + MOP
pulses,40,68,38,6.2,58,Organic Manure + SSP
rice,97,63,84,6.1,62,Urea + DAP + MOP
potato,132,90,115,6.3,61,Urea + DAP + MOP
tomato,113,62,93,6.3,60,Urea + DAP + Potash
tomato,101,59,109,6.4,64,Urea + DAP + Potash
tomato,104,52,99,6.8,61,Urea + DAP + Potash
pulses,35,76,29,6.7,57,Organic Manure + SSP
cotton,89,49,101,7.2,48,Ammonium Sulphate + SSP + MOP
banana,201,43,303,6.6,76,Urea + MOP + Organic Manure
cotton,75,34,91,7.4,53,Ammonium Sulphate + SSP + MOP
wheat,108,47,37,6.9,58,Urea + SSP + MOP
cotton,85,38,110,7.3,46,Ammonium Sulphate + SSP + MOP
potato,135,87,125,5.7,63,Urea + DAP + MOP
wheat,120,59,39,7.1,50,Urea + SSP + MOP
tomato,111,59,107,6.3,58,Urea + DAP + Potash
banana,209,43,301,6.9,73,Urea + MOP + Organic Manure
cotton,74,38,91,7.0,55,Ammonium Sulphate + SSP + MOP
cotton,77,43,99,7.2,52,Ammonium Sulphate + SSP + MOP
potato,140,87,121,5.5,60,Urea + DAP + MOP
potato,135,90,119,5.8,61,Urea + DAP + MOP
banana,194,60,303,6.9,80,Urea + MOP + Organic Manure
wheat,123,50,33,6.6,50,Urea + SSP + MOP
pulses,44,62,27,6.4,60,Organic Manure + SSP
banana,210,43,299,7.0,80,Urea + MOP + Organic Manure
cotton,88,34,108,7.2,52,Ammonium Sulphate + SSP + MOP
rice,95,53,72,6.5,69,Urea + DAP + MOP
banana,190,56,294,7.0,80,Urea + MOP + Organic Manure
groundnut,22,51,61,5.8,45,Gypsum + SSP
groundnut,30,55,62,6.0,55,Gypsum + SSP
pulses,30,60,32,6.9,59,Organic Manure + SSP
groundnut,20,53,65,6.2,49,Gypsum + SSP
potato,133,83,116,5.6,66,Urea + DAP + MOP
cotton,70,50,108,7.4,53,Ammonium Sulphate + SSP + MOP
maize,102,58,61,6.1,55,Urea + DAP + Potash
pulses,43,74,32,6.3,53,Organic Manure + SSP
sugarcane,158,60,116,7.4,73,Urea + DAP + Potash
tomato,119,66,104,6.1,63,Urea + DAP + Potash
potato,145,81,121,5.8,68,Urea + DAP + MOP
cotton,79,45,96,6.8,49,Ammonium Sulphate + SSP + MOP
wheat,102,55,48,7.3,51,Urea + SSP + MOP
pulses,37,63,26,6.5,52,Organic Manure + SSP
tomato,114,56,100,6.5,61,Urea + DAP + Potash
maize,94,56,70,6.8,63,Urea + DAP + Potash
wheat,113,43,32,7.1,50,Urea + SSP + MOP
maize,107,57,72,6.8,62,Urea + DAP + Potash
pulses,46,69,28,6.1,53,Organic Manure + SSP
banana,191,55,303,6.7,77,Urea + MOP + Organic Manure
tomato,100,68,101,6.5,65,Urea + DAP + Potash
rice,100,63,88,6.5,69,Urea + DAP + MOP
tomato,110,59,91,6.7,63,Urea + DAP + Potash
potato,148,99,128,5.6,63,Urea + DAP + MOP
sugarcane,159,68,112,7.5,71,Urea + DAP + Potash
cotton,82,48,98,6.5,51,Ammonium Sulphate + SSP + MOP
banana,200,42,301,7.2,77,Urea + MOP + Organic Manure
wheat,103,44,42,6.7,51,Urea + SSP + MOP
rice,89,61,74,6.8,62,Urea + DAP + MOP
maize,96,66,75,6.9,61,Urea + DAP + Potash
rice,91,69,72,6.0,68,Urea + DAP + MOP
pulses,33,76,23,6.3,55,Organic Manure + SSP
pulses,32,62,27,6.2,51,Organic Manure + SSP
potato,138,84,119,5.6,60,Urea + DAP + MOP
groundnut,25,52,63,6.5,47,Gypsum + SSP
wheat,124,40,49,6.8,58,Urea + SSP + MOP
rice,83,56,75,6.3,60,Urea + DAP + MOP
tomato,108,59,97,6.6,61,Urea + DAP + Potash
wheat,130,58,48,6.9,56,Urea + SSP + MOP
wheat,111,58,43,7.3,57,Urea + SSP + MOP
wheat,110,48,48,7.2,53,Urea + SSP + MOP
pulses,32,76,20,6.4,60,Organic Manure + SSP
banana,206,40,301,6.7,75,Urea + MOP + Organic Manure
cotton,79,40,93,7.3,50,Ammonium Sulphate + SSP + MOP
pulses,47,64,24,6.1,54,Organic Manure + SSP
sugarcane,158,56,111,6.8,72,Urea + DAP + Potash
banana,194,41,307,7.4,74,Urea + MOP + Organic Manure
rice,93,55,89,6.4,66,Urea + DAP + MOP
sugarcane,141,54,110,6.6,70,Urea + DAP + Potash
banana,210,47,292,7.0,79,Urea + MOP + Organic Manure
groundnut,28,59,50,6.4,52,Gypsum + SSP
sugarcane,142,50,114,7.0,70,Urea + DAP + Potash
tomato,105,51,110,6.9,55,Urea + DAP + Potash
wheat,103,42,50,7.2,54,Urea + SSP + MOP
tomato,113,53,103,6.6,65,Urea + DAP + Potash
potato,137,97,121,6.5,63,Urea + DAP + MOP
sugarcane,143,68,116,6.7,73,Urea + DAP + Potash
pulses,32,66,27,6.8,50,Organic Manure + SSP
tomato,109,57,107,6.6,63,Urea + DAP + Potash
wheat,108,51,48,6.9,52,Urea + SSP + MOP
cotton,81,34,109,7.4,51,Ammonium Sulphate + SSP + MOP
groundnut,21,64,59,5.9,55,Gypsum + SSP
cotton,73,34,108,6.5,50,Ammonium Sulphate + SSP + MOP
groundnut,27,59,64,6.2,46,Gypsum + SSP
groundnut,23,69,53,5.5,46,Gypsum + SSP
banana,195,50,310,6.5,72,Urea + MOP + Organic Manure
wheat,126,41,39,7.5,54,Urea + SSP + MOP
rice,100,54,74,7.0,68,Urea + DAP + MOP
tomato,104,52,110,6.7,63,Urea + DAP + Potash
pulses,32,80,21,6.5,57,Organic Manure + SSP
maize,106,60,62,6.5,62,Urea + DAP + Potash
wheat,107,46,31,7.4,51,Urea + SSP + MOP
banana,195,57,295,7.5,80,Urea + MOP + Organic Manure
pulses,30,71,23,6.8,53,Organic Manure + SSP
tomato,110,60,102,6.5,63,Urea + DAP + Potash
tomato,109,70,97,6.4,64,Urea + DAP + Potash
sugarcane,140,51,129,6.8,73,Urea + DAP + Potash
potato,147,83,116,6.0,60,Urea + DAP + MOP
sugarcane,159,66,121,6.8,67,Urea + DAP + Potash
pulses,43,66,22,6.4,56,Organic Manure + SSP
potato,140,91,123,6.0,60,Urea + DAP + MOP
tomato,107,68,96,6.9,55,Urea + DAP + Potash
sugarcane,145,65,129,7.0,70,Urea + DAP + Potash
sugarcane,142,68,116,6.7,66,Urea + DAP + Potash
groundnut,29,55,59,6.0,55,Gypsum + SSP
cotton,78,45,95,6.8,48,Ammonium Sulphate + SSP + MOP
rice,92,55,85,6.2,62,Urea + DAP + MOP
banana,197,60,291,6.8,79,Urea + MOP + Organic Manure
sugarcane,144,55,112,7.3,66,Urea + DAP + Potash
cotton,83,42,105,6.9,52,Ammonium Sulphate + SSP + MOP
wheat,130,46,45,7.1,59,Urea + SSP + MOP
cotton,84,50,104,6.7,47,Ammonium Sulphate + SSP + MOP
cotton,84,50,93,7.3,45,Ammonium Sulphate + SSP + MOP
rice,96,54,85,6.6,65,Urea + DAP + MOP
wheat,103,50,44,7.5,53,Urea + SSP + MOP
maize,107,61,67,6.1,65,Urea + DAP + Potash
pulses,33,68,27,6.8,50,Organic Manure + SSP
banana,196,53,306,7.3,80,Urea + MOP + Organic Manure
sugarcane,153,52,128,6.6,75,Urea + DAP + Potash
wheat,110,45,39,7.2,56,Urea + SSP + MOP
rice,81,60,80,6.7,70,Urea + DAP + MOP
sugarcane,146,64,126,6.7,70,Urea + DAP + Potash
rice,90,56,88,6.6,67,Urea + DAP + MOP
wheat,112,58,38,6.9,55,Urea + SSP + MOP
sugarcane,150,68,125,7.3,73,Urea + DAP + Potash
banana,209,41,295,7.4,74,Urea + MOP + Organic Manure
potato,140,86,115,6.4,61,Urea + DAP + MOP
potato,139,85,110,6.3,70,Urea + DAP + MOP
maize,109,64,75,6.4,63,Urea + DAP + Potash
pulses,33,73,36,6.1,54,Organic Manure + SSP
pulses,41,74,29,6.8,60,Organic Manure + SSP
sugarcane,157,55,127,7.0,69,Urea + DAP + Potash
potato,139,94,122,5.7,61,Urea + DAP + MOP
sugarcane,156,57,124,6.7,71,Urea + DAP + Potash
potato,150,91,112,5.7,64,Urea + DAP + MOP
groundnut,20,63,64,5.9,45,Gypsum + SSP
sugarcane,146,67,128,7.1,73,Urea + DAP + Potash
cotton,89,37,106,7.2,46,Ammonium Sulphate + SSP + MOP
banana,210,55,309,6.6,79,Urea + MOP + Organic Manure
tomato,113,63,102,7.0,58,Urea + DAP + Potash
sugarcane,154,62,130,6.6,73,Urea + DAP + Potash
groundnut,25,61,66,6.4,45,Gypsum + SSP
tomato,109,58,97,6.6,61,Urea + DAP + Potash
sugarcane,157,64,112,6.8,73,Urea + DAP + Potash
banana,210,57,295,7.1,70,Urea + MOP + Organic Manure
banana,191,55,292,6.9,74,Urea + MOP + Organic Manure
tomato,116,69,104,6.9,65,Urea + DAP + Potash
pulses,44,67,30,6.5,54,Organic Manure + SSP
rice,96,65,82,6.8,67,Urea + DAP + MOP
banana,203,56,300,6.6,77,Urea + MOP + Organic Manure
banana,200,53,293,6.9,78,Urea + MOP + Organic Manure
potato,132,82,118,5.6,61,Urea + DAP + MOP
sugarcane,155,58,119,7.2,65,Urea + DAP + Potash
wheat,126,60,46,7.4,57,Urea + SSP + MOP
pulses,42,75,23,6.9,53,Organic Manure + SSP
potato,137,96,129,6.5,62,Urea + DAP + MOP
sugarcane,157,64,110,7.4,66,Urea + DAP + Potash
tomato,118,60,102,6.4,64,Urea + DAP + Potash
groundnut,23,69,70,5.6,47,Gypsum + SSP
rice,88,69,79,6.8,66,Urea + DAP + MOP
tomato,107,50,95,7.0,61,Urea + DAP + Potash
banana,205,42,298,6.5,80,Urea + MOP + Organic Manure
pulses,40,79,24,6.5,54,Organic Manure + SSP
potato,132,81,119,6.3,68,Urea + DAP + MOP
groundnut,30,53,64,5.8,50,Gypsum + SSP
wheat,104,45,33,6.7,54,Urea + SSP + MOP
groundnut,24,52,56,6.1,51,Gypsum + SSP
pulses,30,73,40,6.6,56,Organic Manure + SSP
potato,146,84,120,5.9,68,Urea + DAP + MOP
wheat,103,53,42,6.7,56,Urea + SSP + MOP
maize,92,65,72,7.0,63,Urea + DAP + Potash
cotton,79,33,100,6.8,55,Ammonium Sulphate + SSP + MOP
cotton,83,30,104,7.2,53,Ammonium Sulphate + SSP + MOP
banana,203,50,302,7.4,73,Urea + MOP + Organic Manure
rice,81,65,84,6.4,66,Urea + DAP + MOP
maize,97,55,71,6.5,59,Urea + DAP + Potash
sugarcane,153,52,128,6.7,67,Urea + DAP + Potash
cotton,90,48,91,7.2,50,Ammonium Sulphate + SSP + MOP
banana,205,51,295,7.2,75,Urea + MOP + Organic Manure
rice,92,68,78,6.6,64,Urea + DAP + MOP
rice,100,68,86,6.2,69,Urea + DAP + MOP
rice,85,63,88,6.9,63,Urea + DAP + MOP
rice,92,54,71,6.7,63,Urea + DAP + MOP
potato,142,89,113,6.0,60,Urea + DAP + MOP
cotton,84,36,110,6.8,55,Ammonium Sulphate + SSP + MOP
banana,207,59,298,7.3,79,Urea + MOP + Organic Manure
tomato,114,68,100,6.2,59,Urea + DAP + Potash
maize,92,62,76,6.2,56,Urea + DAP + Potash
rice,97,59,83,6.1,64,Urea + DAP + MOP
maize,101,58,68,6.3,61,Urea + DAP + Potash
sugarcane,156,62,112,6.7,72,Urea + DAP + Potash
tomato,108,61,108,6.9,63,Urea + DAP + Potash
rice,89,53,90,6.3,70,Urea + DAP + MOP
cotton,74,44,91,7.5,47,Ammonium Sulphate + SSP + MOP
wheat,108,55,30,7.4,55,Urea + SSP + MOP
maize,98,68,71,7.0,61,Urea + DAP + Potash
sugarcane,141,50,127,6.5,71,Urea + DAP + Potash
maize,103,64,71,6.4,65,Urea + DAP + Potash
potato,145,83,126,5.9,68,Urea + DAP + MOP
pulses,44,79,39,6.2,54,Organic Manure + SSP
rice,88,53,86,6.9,62,Urea + DAP + MOP
sugarcane,160,60,115,6.9,75,Urea + DAP + Potash
banana,208,53,304,6.5,79,Urea + MOP + Organic Manure
maize,99,65,77,6.7,56,Urea + DAP + Potash
rice,82,69,78,6.7,66,Urea + DAP + MOP
rice,100,53,77,6.7,69,Urea + DAP + MOP
potato,135,82,114,5.7,62,Urea + DAP + MOP
rice,94,59,86,6.1,70,Urea + DAP + MOP
maize,95,63,79,6.0,57,Urea + DAP + Potash
rice,90,55,77,7.0,68,Urea + DAP + MOP
pulses,47,79,23,6.9,51,Organic Manure + SSP
cotton,78,36,92,6.6,46,Ammonium Sulphate + SSP + MOP
sugarcane,151,55,126,6.8,67,Urea + DAP + Potash
potato,134,82,120,6.2,65,Urea + DAP + MOP
maize,94,61,76,6.0,62,Urea + DAP + Potash
sugarcane,156,66,118,6.7,73,Urea + DAP + Potash
pulses,50,77,29,6.6,58,Organic Manure + SSP
tomato,104,64,104,6.1,59,Urea + DAP + Potash
potato,131,96,125,6.4,65,Urea + DAP + MOP
potato,136,98,124,5.5,64,Urea + DAP + MOP
wheat,102,55,42,6.6,52,Urea + SSP + MOP
cotton,70,45,104,7.5,50,Ammonium Sulphate + SSP + MOP
maize,91,53,79,6.4,60,Urea + DAP + Potash
cotton,83,40,98,7.3,46,Ammonium Sulphate + SSP + MOP
tomato,116,52,98,7.0,58,Urea + DAP + Potash
maize,92,58,65,6.6,58,Urea + DAP + Potash
pulses,42,73,35,6.1,52,Organic Manure + SSP
wheat,118,57,35,7.3,50,Urea + SSP + MOP
tomato,105,58,106,6.9,60,Urea + DAP + Potash
rice,81,70,72,6.8,65,Urea + DAP + MOP
maize,97,50,77,6.7,59,Urea + DAP + Potash
maize,99,69,72,6.9,63,Urea + DAP + Potash
potato,149,94,110,6.4,64,Urea + DAP + MOP
pulses,43,71,38,6.0,52,Organic Manure + SSP
wheat,139,45,48,7.0,51,Urea + SSP + MOP
banana,200,49,302,6.9,78,Urea + MOP + Organic Manure
banana,192,54,293,6.6,73,Urea + MOP + Organic Manure
wheat,128,50,48,6.7,60,Urea + SSP + MOP
sugarcane,145,60,120,7.5,71,Urea + DAP + Potash
tomato,111,69,100,6.2,62,Urea + DAP + Potash
potato,130,87,124,5.6,70,Urea + DAP + MOP
rice,87,58,77,7.0,62,Urea + DAP + MOP
banana,191,40,302,7.0,78,Urea + MOP + Organic Manure
maize,95,56,66,6.6,65,Urea + DAP + Potash
tomato,101,52,93,6.9,56,Urea + DAP + Potash
maize,98,55,65,6.8,63,Urea + DAP + Potash
tomato,102,69,97,6.2,56,Urea + DAP + Potash
tomato,119,57,102,6.6,58,Urea + DAP + Potash
potato,134,88,119,6.3,67,Urea + DAP + MOP
cotton,76,33,95,6.6,45,Ammonium Sulphate + SSP + MOP
rice,95,57,83,6.3,70,Urea + DAP + MOP
wheat,119,55,41,6.7,58,Urea + SSP + MOP
groundnut,28,53,68,5.6,49,Gypsum + SSP
wheat,125,40,47,7.1,56,Urea + SSP + MOP
rice,83,66,88,6.2,60,Urea + DAP + MOP
groundnut,25,64,67,5.7,52,Gypsum + SSP
pulses,48,72,21,6.2,51,Organic Manure + SSP
pulses,41,60,32,6.7,60,Organic Manure + SSP
sugarcane,159,53,128,7.4,67,Urea + DAP + Potash
wheat,135,58,30,7.2,55,Urea + SSP + MOP
groundnut,30,61,66,6.2,53,Gypsum + SSP
maize,98,63,72,6.9,59,Urea + DAP + Potash
tomato,119,58,110,6.5,55,Urea + DAP + Potash
tomato,116,65,101,6.3,59,Urea + DAP + Potash
cotton,73,50,104,6.7,45,Ammonium Sulphate + SSP + MOP
cotton,81,42,107,7.1,51,Ammonium Sulphate + SSP + MOP
groundnut,26,67,59,5.8,48,Gypsum + SSP
wheat,130,44,33,6.9,55,Urea + SSP + MOP
rice,99,62,72,6.8,68,Urea + DAP + MOP
maize,107,50,74,6.6,58,Urea + DAP + Potash
sugarcane,145,58,128,7.0,71,Urea + DAP + Potash
maize,96,59,68,6.9,56,Urea + DAP + Potash
maize,101,61,76,6.9,61,Urea + DAP + Potash
maize,93,65,76,6.0,65,Urea + DAP + Potash
groundnut,21,68,51,5.6,48,Gypsum + SSP
sugarcane,148,50,120,6.6,70,Urea + DAP + Potash
pulses,47,60,28,6.5,51,Organic Manure + SSP
pulses,45,74,40,6.7,57,Organic Manure + SSP
pulses,30,62,23,6.7,55,Organic Manure + SSP
wheat,138,43,45,7.5,57,Urea + SSP + MOP
pulses,44,73,30,6.5,58,Organic Manure + SSP
rice,89,70,81,6.3,64,Urea + DAP + MOP
pulses,30,72,23,6.6,59,Organic Manure + SSP
cotton,70,44,95,6.7,49,Ammonium Sulphate + SSP + MOP
rice,99,54,72,6.7,63,Urea + DAP + MOP
potato,139,86,121,5.9,65,Urea + DAP + MOP
tomato,112,70,90,6.9,56,Urea + DAP + Potash
maize,90,70,62,6.7,57,Urea + DAP + Potash
banana,194,47,297,6.7,79,Urea + MOP + Organic Manure
tomato,117,56,105,6.8,56,Urea + DAP + Potash
potato,143,88,119,6.2,62,Urea + DAP + MOP
rice,86,61,82,6.8,69,Urea + DAP + MOP
tomato,104,66,98,6.7,56,Urea + DAP + Potash
wheat,129,43,45,6.7,53,Urea + SSP + MOP
cotton,83,39,102,6.6,46,Ammonium Sulphate + SSP + MOP
potato,147,89,120,6.3,67,Urea + DAP + MOP
groundnut,20,56,67,6.0,46,Gypsum + SSP
cotton,71,35,98,6.7,47,Ammonium Sulphate + SSP + MOP
banana,191,54,306,7.2,73,Urea + MOP + Organic Manure
pulses,48,74,22,6.5,56,Organic Manure + SSP
maize,106,62,80,6.2,58,Urea + DAP + Potash
banana,200,41,295,7.4,73,Urea + MOP + Organic Manure
banana,204,50,296,7.2,79,Urea + MOP + Organic Manure
groundnut,29,65,68,6.4,50,Gypsum + SSP
pulses,43,78,28,6.8,59,Organic Manure + SSP
tomato,109,58,108,6.8,64,Urea + DAP + Potash
banana,195,52,297,6.5,72,Urea + MOP + Organic Manure
potato,132,84,122,5.7,62,Urea + DAP + MOP
sugarcane,154,58,125,6.9,70,Urea + DAP + Potash
groundnut,27,60,54,5.8,55,Gypsum + SSP
banana,208,59,304,7.0,78,Urea + MOP + Organic Manure
groundnut,23,51,50,5.8,45,Gypsum + SSP
cotton,71,43,105,7.0,51,Ammonium Sulphate + SSP + MOP
cotton,71,39,91,7.1,48,Ammonium Sulphate + SSP + MOP
tomato,118,55,96,6.8,55,Urea + DAP + Potash
potato,137,81,118,6.0,65,Urea + DAP + MOP
groundnut,26,70,57,6.1,53,Gypsum + SSP
sugarcane,145,66,122,6.9,69,Urea + DAP + Potash
groundnut,20,61,63,6.3,47,Gypsum + SSP
pulses,30,66,35,6.2,50,Organic Manure + SSP
rice,88,54,89,6.9,64,Urea + DAP + MOP
wheat,124,49,45,6.7,58,Urea + SSP + MOP
pulses,44,66,31,6.3,56,Organic Manure + SSP
potato,139,82,110,5.9,63,Urea + DAP + MOP
rice,99,50,84,6.4,69,Urea + DAP + MOP
banana,207,57,290,6.8,79,Urea + MOP + Organic Manure
pulses,38,65,29,6.8,59,Organic Manure + SSP
banana,202,41,295,7.2,74,Urea + MOP + Organic Manure
potato,134,91,128,6.0,70,Urea + DAP + MOP
wheat,138,58,43,7.5,60,Urea + SSP + MOP
potato,131,99,110,6.1,63,Urea + DAP + MOP
potato,141,88,127,5.5,61,Urea + DAP + MOP
rice,94,67,87,6.3,63,Urea + DAP + MOP
maize,109,52,79,6.3,65,Urea + DAP + Potash
sugarcane,149,64,125,7.0,66,Urea + DAP + Potash
sugarcane,144,61,112,7.5,72,Urea + DAP + Potash
rice,85,54,80,6.5,68,Urea + DAP + MOP
cotton,74,30,97,7.2,54,Ammonium Sulphate + SSP + MOP
rice,95,63,71,6.7,65,Urea + DAP + MOP
maize,102,68,67,6.6,64,Urea + DAP + Potash
banana,201,55,293,6.8,80,Urea + MOP + Organic Manure
rice,87,66,79,7.0,65,Urea + DAP + MOP
wheat,116,57,38,7.3,50,Urea + SSP + MOP
wheat,131,42,45,7.5,54,Urea + SSP + MOP
wheat,114,40,41,7.4,52,Urea + SSP + MOP
groundnut,22,59,55,6.1,48,Gypsum + SSP
wheat,122,43,49,7.4,59,Urea + SSP + MOP
cotton,86,37,90,6.7,51,Ammonium Sulphate + SSP + MOP
sugarcane,147,61,121,7.1,70,Urea + DAP + Potash
maize,101,62,72,6.3,65,Urea + DAP + Potash
wheat,114,46,35,6.7,51,Urea + SSP + MOP
cotton,71,40,90,7.4,50,Ammonium Sulphate + SSP + MOP
sugarcane,150,61,113,7.1,70,Urea + DAP + Potash
maize,92,67,70,6.2,58,Urea + DAP + Potash
tomato,110,60,98,6.8,63,Urea + DAP + Potash
cotton,77,48,97,6.8,51,Ammonium Sulphate + SSP + MOP
groundnut,22,70,61,6.4,49,Gypsum + SSP
banana,210,42,304,6.7,73,Urea + MOP + Organic Manure
wheat,118,43,34,7.1,59,Urea + SSP + MOP
pulses,37,61,36,6.1,55,Organic Manure + SSP
maize,107,54,68,6.6,64,Urea + DAP + Potash
pulses,31,71,28,6.9,56,Organic Manure + SSP
pulses,30,63,23,6.3,60,Organic Manure + SSP
banana,199,53,304,6.9,73,Urea + MOP + Organic Manure
maize,110,55,64,6.4,59,Urea + DAP + Potash
rice,83,55,73,6.7,61,Urea + DAP + MOP
groundnut,28,53,56,5.9,46,Gypsum + SSP
rice,96,70,86,6.3,66,Urea + DAP + MOP
sugarcane,160,61,114,6.7,67,Urea + DAP + Potash
rice,80,50,89,6.1,64,Urea + DAP + MOP
potato,147,96,122,6.5,66,Urea + DAP + MOP
rice,91,55,74,6.5,70,Urea + DAP + MOP
cotton,81,37,93,7.5,46,Ammonium Sulphate + SSP + MOP
rice,97,69,74,6.3,70,Urea + DAP + MOP
maize,94,59,78,6.1,65,Urea + DAP + Potash
potato,147,94,125,6.3,64,Urea + DAP + MOP
rice,86,62,76,6.4,61,Urea + DAP + MOP
potato,145,88,122,6.2,68,Urea + DAP + MOP
tomato,109,67,94,6.6,57,Urea + DAP + Potash
maize,91,60,74,6.9,61,Urea + DAP + Potash
groundnut,28,69,66,5.8,47,Gypsum + SSP
groundnut,23,54,52,5.9,46,Gypsum + SSP
sugarcane,148,53,124,7.5,71,Urea + DAP + Potash
maize,92,55,68,6.1,58,Urea + DAP + Potash
cotton,86,35,107,7.2,52,Ammonium Sulphate + SSP + MOP
banana,208,42,294,7.2,75,Urea + MOP + Organic Manure
banana,190,58,290,6.8,77,Urea + MOP + Organic Manure
wheat,129,57,50,7.2,57,Urea + SSP + MOP
sugarcane,147,69,128,7.4,66,Urea + DAP + Potash
potato,149,80,128,6.1,67,Urea + DAP + MOP
potato,135,89,112,6.2,63,Urea + DAP + MOP
rice,85,63,87,6.1,64,Urea + DAP + MOP
cotton,82,48,103,6.9,49,Ammonium Sulphate + SSP + MOP
maize,96,64,78,6.3,63,Urea + DAP + Potash
tomato,109,57,99,6.8,58,Urea + DAP + Potash
sugarcane,160,61,116,6.7,73,Urea + DAP + Potash
banana,195,46,302,7.4,73,Urea + MOP + Organic Manure
potato,134,88,124,5.9,66,Urea + DAP + MOP
cotton,72,30,95,7.2,52,Ammonium Sulphate + SSP + MOP
tomato,110,63,103,6.2,61,Urea + DAP + Potash
banana,197,51,307,7.3,71,Urea + MOP + Organic Manure
groundnut,28,65,63,6.0,45,Gypsum + SSP
cotton,78,37,90,6.6,47,Ammonium Sulphate + SSP + MOP
pulses,38,71,22,6.2,57,Organic Manure + SSP
wheat,114,48,34,6.6,51,Urea + SSP + MOP
potato,131,86,115,6.1,69,Urea + DAP + MOP
groundnut,29,69,50,6.2,48,Gypsum + SSP
wheat,134,44,41,7.3,52,Urea + SSP + MOP
sugarcane,160,69,113,7.1,74,Urea + DAP + Potash
wheat,129,40,46,6.9,60,Urea + SSP + MOP
banana,197,46,296,7.3,79,Urea + MOP + Organic Manure
sugarcane,145,63,115,6.9,69,Urea + DAP + Potash
maize,105,52,62,6.6,62,Urea + DAP + Potash
banana,195,50,299,7.3,76,Urea + MOP + Organic Manure
banana,203,41,291,7.1,73,Urea + MOP + Organic Manure
cotton,70,41,102,6.6,54,Ammonium Sulphate + SSP + MOP
tomato,114,65,109,6.3,59,Urea + DAP + Potash
rice,85,68,80,6.4,69,Urea + DAP + MOP
sugarcane,143,65,110,7.2,66,Urea + DAP + Potash
groundnut,22,65,70,5.7,50,Gypsum + SSP
banana,210,59,310,7.4,77,Urea + MOP + Organic Manure
maize,94,57,77,6.2,56,Urea + DAP + Potash
wheat,104,56,32,6.9,54,Urea + SSP + MOP
tomato,103,51,100,6.7,63,Urea + DAP + Potash
potato,143,87,111,5.6,67,Urea + DAP + MOP
pulses,50,73,23,6.5,52,Organic Manure + SSP
cotton,83,46,91,6.8,50,Ammonium Sulphate + SSP + MOP
pulses,43,70,21,6.1,54,Organic Manure + SSP
groundnut,25,53,64,6.2,45,Gypsum + SSP
sugarcane,152,51,122,7.3,72,Urea + DAP + Potash
pulses,35,64,38,6.4,56,Organic Manure + SSP
pulses,50,76,22,6.7,55,Organic Manure + SSP
pulses,45,73,36,6.8,54,Organic Manure + SSP
rice,86,50,71,6.2,60,Urea + DAP + MOP
rice,89,70,79,6.1,62,Urea + DAP + MOP
cotton,73,37,109,7.0,53,Ammonium Sulphate + SSP + MOP
tomato,112,68,106,6.7,59,Urea + DAP + Potash
groundnut,20,65,70,6.0,51,Gypsum + SSP
wheat,113,43,40,6.8,57,Urea + SSP + MOP
cotton,73,32,110,6.6,53,Ammonium Sulphate + SSP + MOP
cotton,72,49,99,7.1,48,Ammonium Sulphate + SSP + MOP
